"Group","Type","Fixed_Effect","Mean","Lower_CI","Upper_CI","test2"
"Census","PrePost","BurnAfter",0.35,0.257293778531451,0.45184936182397,"PrePost_BurnAfter"
"Census","PrePost","MechAfter",0.4,0.303294768702878,0.502790849577665,"PrePost_MechAfter"
"Census","PrePost","Rainfall",1,0.963783307354824,1,"PrePost_Rainfall"
"Immature","PrePost","BurnAfter",0.2,0.126655552101956,0.291842689088628,"PrePost_BurnAfter"
"Immature","PrePost","MechAfter",0.21,0.134943695705329,0.302915379350541,"PrePost_MechAfter"
"Immature","PrePost","Rainfall",0.99,0.945540614607919,0.999746853967023,"PrePost_Rainfall"
