Site,MacroPlot,Year,Species,Scientific_Name,Count
Milagra,MBB1_Burn_Milagra,2013,CAPU,Calystegia purpurata ssp. purpurata,1
Milagra,MBB1_Burn_Milagra,2013,ERLA,Eriogonum latifolium,1
Milagra,MBB1_Burn_Milagra,2013,FIGA,Filago gallica,1
Milagra,MBB1_Burn_Milagra,2013,OXAL,Oxalis albicans ssp. pilosa,1
Milagra,MBB1_Burn_Milagra,2013,VUMY,Vulpia myuros,1
Milagra,MBB1_Burn_Milagra,2015,NASSE,Nassella species unknown,75
Milagra,MBB1_Burn_Milagra,2015,LUAL,Lupinus albifrons var. collinus,18
Milagra,MBB1_Burn_Milagra,2015,BAPI,Baccharis pilularis,16
Milagra,MBB1_Burn_Milagra,2015,ARCA,Artemisia californica,15
Milagra,MBB1_Burn_Milagra,2015,BARE,bare ground; no vegetation,7
Milagra,MBB1_Burn_Milagra,2015,BRCA,Bromus carinatus,3
Milagra,MBB1_Burn_Milagra,2015,LITT,litter,3
Milagra,MBB1_Burn_Milagra,2015,PLLA,Plantago lanceolata,3
Milagra,MBB1_Burn_Milagra,2015,ANAR,Anagallis arvensis,2
Milagra,MBB1_Burn_Milagra,2015,LOMU,Lolium multiflorum,2
Milagra,MBB1_Burn_Milagra,2015,AVBA,Avena barbata,1
Milagra,MBB1_Burn_Milagra,2015,BRDS,Brachypodium distachyon,1
Milagra,MBB1_Burn_Milagra,2015,ERCI,Erodium cicutarium,1
Milagra,MBB1_Burn_Milagra,2015,GAAP,Galium aparine,1
Milagra,MBB1_Burn_Milagra,2015,VUBR,Vulpia bromoides,1
Milagra,MBB1_Control_Milagra,2009,NAPU,Nassella pulchra,64
Milagra,MBB1_Control_Milagra,2009,BAPI,Baccharis pilularis,21
Milagra,MBB1_Control_Milagra,2009,NASSE,Nassella species unknown,13
Milagra,MBB1_Control_Milagra,2009,ANAR,Anagallis arvensis,12
Milagra,MBB1_Control_Milagra,2009,ERLA,Eriogonum latifolium,7
Milagra,MBB1_Control_Milagra,2009,BRCA,Bromus carinatus,6
Milagra,MBB1_Control_Milagra,2009,LITT,litter,6
Milagra,MBB1_Control_Milagra,2009,PLLA,Plantago lanceolata,5
Milagra,MBB1_Control_Milagra,2009,LUAL,Lupinus albifrons var. collinus,4
Milagra,MBB1_Control_Milagra,2009,VUBR,Vulpia bromoides,3
Milagra,MBB1_Control_Milagra,2009,BARE,bare ground; no vegetation,2
Milagra,MBB1_Control_Milagra,2009,LOPE,Lolium perenne,2
Milagra,MBB1_Control_Milagra,2009,AVENA,Avena species unknown,1
Milagra,MBB1_Control_Milagra,2009,BRDI,Bromus diandrus,1
Milagra,MBB1_Control_Milagra,2009,GRST,Grindelia stricta,1
Milagra,MBB1_Control_Milagra,2009,SIMA,Sidalcea malviflora,1
Milagra,MBB1_Control_Milagra,2010,NAPU,Nassella pulchra,64
Milagra,MBB1_Control_Milagra,2010,LOPE,Lolium perenne,20
Milagra,MBB1_Control_Milagra,2010,BRCA,Bromus carinatus,18
Milagra,MBB1_Control_Milagra,2010,ANAR,Anagallis arvensis,14
Milagra,MBB1_Control_Milagra,2010,BAPI,Baccharis pilularis,13
Milagra,MBB1_Control_Milagra,2010,VUBR,Vulpia bromoides,11
