"Group","Type","Fixed_Effect","Mean","Lower_CI","Upper_CI","test2"
"Lupine","2009","BurnBefore",0.29,0.203574189250732,0.389265958907448,"2009_BurnBefore"
"Lupine","2009","MechBefore",0.25,0.168779738099342,0.346552495758808,"2009_MechBefore"
"Lupine","2011","BurnAfter",0.43,0.331391016631383,0.532866261675154,"2011_BurnAfter"
"Lupine","2011","MechAfter",0.34,0.248223501544844,0.441533267750959,"2011_MechAfter"
"Lupine","2012","BurnAfter",0.44,0.340836023723458,0.542812502936682,"2012_BurnAfter"
"Lupine","2012","MechAfter",0.35,0.257293778531451,0.45184936182397,"2012_MechAfter"
"Lupine","2013","BurnAfter",0.43,0.331391016631383,0.532866261675154,"2013_BurnAfter"
"Lupine","2013","MechAfter",0.44,0.340836023723458,0.542812502936682,"2013_MechAfter"
"Lupine","2015","BurnAfter",0.41,0.312619976567571,0.512855796233229,"2015_BurnAfter"
"Lupine","2015","MechAfter",0.38,0.284767476141479,0.482539305750807,"2015_MechAfter"
"Native","2009","BurnBefore",0.49,0.388644165161638,0.591963670844546,"2009_BurnBefore"
"Native","2009","MechBefore",0.48,0.379005480177959,0.582210234593693,"2009_MechBefore"
"Native","2011","BurnAfter",0.63,0.527648359448317,0.724433420385449,"2011_BurnAfter"
"Native","2011","MechAfter",0.62,0.517460694249193,0.71523252385852,"2011_MechAfter"
"Native","2012","BurnAfter",0.59,0.487144203766771,0.687380023432429,"2012_BurnAfter"
"Native","2012","MechAfter",0.65,0.54815063817603,0.742706221468549,"2012_MechAfter"
"Native","2013","BurnAfter",0.72,0.621332995282733,0.805206372508819,"2013_BurnAfter"
"Native","2013","MechAfter",0.64,0.537878106672577,0.733591577266765,"2013_MechAfter"
"Native","2015","BurnAfter",0.56,0.457187497063318,0.659163976276542,"2015_BurnAfter"
"Native","2015","MechAfter",0.48,0.379005480177959,0.582210234593693,"2015_MechAfter"
"Invasive","2009","BurnBefore",0.4,0.303294768702878,0.502790849577665,"2009_BurnBefore"
"Invasive","2009","MechBefore",0.45,0.350320229239672,0.552719811226064,"2009_MechBefore"
"Invasive","2011","BurnAfter",0.67,0.568827249222437,0.760801465377398,"2011_BurnAfter"
"Invasive","2011","MechAfter",0.64,0.537878106672577,0.733591577266765,"2011_MechAfter"
"Invasive","2012","BurnAfter",0.64,0.537878106672577,0.733591577266765,"2012_BurnAfter"
"Invasive","2012","MechAfter",0.62,0.517460694249193,0.71523252385852,"2012_MechAfter"
"Invasive","2013","BurnAfter",0.54,0.437411579866471,0.640156647020588,"2013_BurnAfter"
"Invasive","2013","MechAfter",0.57,0.467133738324846,0.668608983368617,"2013_MechAfter"
"Invasive","2015","BurnAfter",0.46,0.359843352979412,0.562588420133529,"2015_BurnAfter"
"Invasive","2015","MechAfter",0.51,0.408036329155454,0.611355834838362,"2015_MechAfter"
"Shrub","2009","BurnBefore",0.41,0.312619976567571,0.512855796233229,"2009_BurnBefore"
"Shrub","2009","MechBefore",0.38,0.284767476141479,0.482539305750807,"2009_MechBefore"
"Shrub","2011","BurnAfter",0.42,0.321985539354797,0.522880804276086,"2011_BurnAfter"
"Shrub","2011","MechAfter",0.4,0.303294768702878,0.502790849577665,"2011_MechAfter"
"Shrub","2012","BurnAfter",0.49,0.388644165161638,0.591963670844546,"2012_BurnAfter"
"Shrub","2012","MechAfter",0.38,0.284767476141479,0.482539305750807,"2012_MechAfter"
"Shrub","2013","BurnAfter",0.46,0.359843352979412,0.562588420133529,"2013_BurnAfter"
"Shrub","2013","MechAfter",0.42,0.321985539354797,0.522880804276086,"2013_MechAfter"
"Shrub","2015","BurnAfter",0.46,0.359843352979412,0.562588420133529,"2015_BurnAfter"
"Shrub","2015","MechAfter",0.44,0.340836023723458,0.542812502936682,"2015_MechAfter"
